What kind of degree do you have?,What is your job?,How many job experience years do you have? ,Do you have any experience in dermatology?,How much experience do you have in dermatology?,Are you a dermatologist?,How much does dermoscopic image affect melanoma diagnosis?,How much does histological image affect melanoma diagnosis?  ,"If only the dermoscopic image is available, how reliable is the diagnosis? ","If only the histological image is available, how reliable is the diagnosis? ","If I have both the histological and dermoscopic images available, how reliable is the diagnosis? ",What are the problems that can be encountered when acquiring a dermoscopic image?,What are the problems that can be encountered when acquiring a histological image?,What are the useful metrics to evaluate a dermoscopic image quality? ,What are the relevant dermoscopic image features on which you focus more? ,What are the relevant histological image features on which you focus more? ,Do you think there are other relevant issues in melanoma diagnosis that the survey did not treat? ,Nationality
Bachelor of Medicine,Dermatologist,4,Yes,4,Yes,4,4,4,4,5,Little lighting;Body hair;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Image brightness,Pigment network ,Tissue anatomy ,,South Africa
Master in Medicine,Dermatologist resident,2,Yes,1,Yes,5,5,4,5,5,Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Contrast-to-noise ratio (CNR);Image brightness,Shape and color ,"Celular appearance, architectural pattern, tissue ",,Portugal
Post graduate degree,Program and Research Associate,7,Yes,2,No,3,4,3,4,5,Little lighting;Body hair;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Signal-to-noise ratio (SNR),Pigment Network: The pigment network refers to the interlacing pattern of brown pigment lines seen in the dermoscopic image.,Globules: Dermoscopic globules are round or oval-shaped structures seen within a lesion. They can vary in color and size and may provide important diagnostic clues.,Structureless Areas: These areas lack specific patterns or structures and are typically associated with melanoma or other malignant lesions.,United Kingdom
Master in Medicine,Dermatologist ,2,Yes,2,Yes,3,4,3,4,5,Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Signal-to-noise ratio (SNR);Image brightness,Pigment pattern,Manificatoon,,South Africa
Bachelor of Medicine,Doctor,5,Yes,2,No,4,5,3,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,Don’t know ,Don’t know ,,Germany
Master in Medicine,Dermatologist ,1,Yes,4,Yes,2,5,4,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,Poor tissue preparation,Contrast-to-noise ratio (CNR),"Color, symmetry, borders",Irregularities ,Evolution ,Germany
Bachelor of Medicine,Doctor,10,Yes,3,No,4,5,4,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,"Border, asymmetry, colour, demarcation, edges",Irregularity,,United Kingdom
Master in Medicine,medical resident anesthesia,2,Yes,2,No,5,5,3,5,5,Patient movement;lack of experience of the observer,Poor tissue preparation;lack of experience of the pathologist,Contrast-to-noise ratio (CNR),"vascular characteristics, extension and malignant characteristics",celullarity ,inmunohistochemistry ,Mexico
Bachelor of Medicine,Speciality Registrar - Dermatology,4,Yes,3,Yes,4,3,4,3,5,Body hair;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),Pigmentation,Tissue degradation,,United Kingdom
Master in Medicine,Doctor,5,Yes,1,No,3,5,3,5,5,Little lighting;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Contrast-to-noise ratio (CNR);Image brightness,Good lighting and lens,Good preparation and elimation of artifacts,,Portugal
Master in Medicine,Doctor,17,Yes,5,Yes,4,3,2,3,4,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Contrast-to-noise ratio (CNR),"Any abnormal pigmentations, shapes of dark spots, hair growth","Cell shape, nuclear shape, NC ratio",,United States
Master in Biochemistry,Phd Melanoma student,1,Yes,4,No,4,5,4,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,"The colours, structures, symmetry, borders and ulceration of the lesion. ","Asymmetry, ulcerations, cytological atypia and pagetoid involvement of the epidermis","the use of ancillary techniques such as molecular testing, or gene expression profiling",Chile
Oncology Therapeutic Development ,therapist,3,Yes,3,Yes,4,5,4,4,4,Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),I focus on similarity of skin feature with previously diagnosed case.,"circumscribed lesions, consumption of the epidermis",,United States
Master in Medicine,Physician associate ,3,Yes,3,No,4,5,4,4,5,Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Image brightness,"Pigmentation, irregularity ","Consumption of the epidermis, melanocyetes",,United Kingdom
Master in Medicine,Dermatologist,3,Yes,4,Yes,4,5,3,5,5,Little lighting;Body hair;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Contrast-to-noise ratio (CNR),Colour ,Tissues layering,,Portugal
Master in Medicine,Dermatologist,13,Yes,5,Yes,3,5,2,4,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope;Difficult location,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting;Loss of sample ",Contrast-to-noise ratio (CNR);Image brightness,"Border change, vessels present, pigment change and multiple pigments","Depth of the melanoma, size of it and its grading","History including family history of melanoma, sun exposure, sunbed exposure etc help with diagnosis",United Kingdom
Master in Medicine,Doctor,6,Yes,1,No,4,5,3,5,5,Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,CNR,the quality of the obtained tissue,the way you obtained the tissue,Poland
Phd,Internist doctor,3,Yes,1,No,5,5,4,5,5,Patient movement,Non-uniform cutting,Signal-to-noise ratio (SNR),The bad definited limits and the diferent colores that can appear in the moles or body marks,proliferation of menalocytes through the basement membrane,Factor risks that increments the probabilities of developing cx,Mexico
Master in Medicine,Specialist in Oncological Radiation Therapy ,15,Yes,4,No,5,5,4,5,5,Incorrect angle of the dermatoscope,Poor tissue preparation,Image brightness,"Boundary,colour",Infiltrazione,,Italy
Master in Medicine,Doctor,13,Yes,3,No,5,5,4,5,5,Little lighting;Patient movement,Non-uniform cutting,Image brightness,Abcde ,Margins and biological factors,"Phototype, genetics",Italy
Master in Medicine,Dermatologist,18,Yes,5,Yes,4,4,3,4,4,Little lighting;Poor quality instrumentation ,,Image brightness,Dermoscopic criteria,Histological criteria,,Italy
Master in Medicine,Dermatologist,15,Yes,5,Yes,5,5,4,5,5,Body hair,Poor tissue preparation;Non-uniform cutting,Image brightness,Presence of atypia,Presence of atypia,,Italy
Master in Medicine,Dermatologist,23,Yes,5,Yes,4,5,3,5,5,Body hair,Non-uniform cutting,Image brightness,Serena pointer check lists (prof Argenziano) ,Tissue section,,Italy
